id,rest_id,day,hours,is_open
112,16,su,X,0
113,17,mo,X,0
114,17,tu,X,0
115,17,we,12h-14h;18h-22h,1
116,17,th,12h-14h;18h-22h,1
117,17,fr,12h-14h;18h-22h,1
118,17,sa,18h-22h,1
119,17,su,12h-14h;18h-22h,1
120,18,mo,X,0
121,18,tu,X,0
122,18,we,12h-14h30;18h-22h,1
123,18,th,12h-14h30;18h-22h,1
124,18,fr,12h-14h30;18h-22h,1
125,18,sa,12h-14h30;18h-22h,1
126,18,su,12h-15h,1
127,19,mo,12h-14h;18h-22h,1
128,19,tu,12h-14h;18h-22h,1
129,19,we,12h-14h;18h-22h,1
130,19,th,12h-14h;18h-22h,1
131,19,fr,12h-14h;18h-23h,1
132,19,sa,12h-23h,1
133,19,su,12h-22h,1
134,20,mo,X,0
135,20,tu,X,0
136,20,we,18h-22h,1
137,20,th,18h-22h,1
138,20,fr,18h-22h,1
139,20,sa,18h-22h,1
140,20,su,18h-22h,1
141,21,mo,X,0
142,21,tu,X,0
143,21,we,18h-23h,1
144,21,th,18h-23h,1
145,21,fr,18h-24h,1
146,21,sa,18h-24h,1
147,21,su,18h-23h,1
148,22,mo,18h-22.30h,1
149,22,tu,X,0
150,22,we,18h-22.30h,1
151,22,th,18h-22.30h,1
152,22,fr,18h-22.30h,1
153,22,sa,18h-23h,1
154,22,su,18h-22.30h,1
155,23,mo,X,0
156,23,tu,12h-14h;17.30h-22.15h,1
157,23,we,12h-14h;17.30h-22.15h,1
158,23,th,12h-14h;17.30h-22.15h,1
159,23,fr,12h-14h;17.30h-22.15h,1
160,23,sa,17.30h-22.15h,1
161,23,su,17.30h-22.15h,1
162,24,mo,X,0
163,24,tu,X,0
164,24,we,11.30h-17h,1
165,24,th,11.30h-17h,1
166,24,fr,11.30h-17h,1
167,24,sa,11.30h-23h,1
168,24,su,11.30h-17h,1
169,25,mo,12-14.30h;18h-22h,1
170,25,tu,12-14.30h;18h-22h,1
171,25,we,12-14.30h;18h-22h,1
172,25,th,12-14.30h;18h-22h,1
173,25,fr,12-14.30h;18.30h-23h,1
174,25,sa,12-14.30h;18h-23h,1
175,25,su,X,0
176,26,mo,X,0
177,26,tu,11h-14.30h-17.30h-22.30h,1
178,26,we,11h-14.30h-17.30h-22.30h,1
179,26,th,11h-14.30h-17.30h-22.30h,1
180,26,fr,11h-14.30h-17.30h-22.30h,1
181,26,sa,17h30-24h,1
182,26,su,17h30-24h,1
183,27,mo,11h-01h,1
184,27,tu,11h-01h,1
185,27,we,11h-01h,1
186,27,th,11h-01h,1
187,27,fr,11h-01h,1
188,27,sa,11h-01h,1
189,27,su,11h-01h,1
190,28,mo,X,0
191,28,tu,11h-14h;17h-23h,1
192,28,we,11h-14h;17h-23h,1
193,28,th,11h-14h;17h-23h,1
194,28,fr,11h-01h,1
195,28,sa,16.30h-01h,1
196,28,su,X,0
197,29,mo,X,0
198,29,tu,17h-22h,1
199,29,we,17h-22h,1
200,29,th,17h-22h,1
201,29,fr,17h-23h,1
202,29,sa,17h-23h,1
203,29,su,17h-21h,1
204,30,mo,18h-22h,1
205,30,tu,X,0
206,30,we,18h-22h,1
207,30,th,18h-22h,1
208,30,fr,18h-22h,1
209,30,sa,18h-22h,1
210,30,su,18h-22h,1
211,31,mo,X,0
212,31,tu,12h-21h,1
213,31,we,12h-21h,1
214,31,th,12h-21h,1
215,31,fr,12h-21h,1
216,31,sa,12h-21h,1
217,31,su,X,0
218,32,mo,11h-01h,1
